title,company,location,experience_required,salary_min,salary_max,jd_text,skills,apply_url,source,posted_date
Machine Learning Engineer,Google India,Bangalore,2.0,1800000.0,2800000.0,"Seeking Machine Learning Engineer to scale models for Search & Assistant. Skills: Python, TensorFlow, PyTorch, SQL, AWS, Git.","Python, SQL, Machine Learning, TensorFlow, PyTorch, AWS, Git",https://careers.google.com/jobs/results/?location=India&q=Machine%20Learning%20Engineer,linkedin,2026-07-15
Data Scientist,Walmart Global Tech,Bangalore,3.0,1600000.0,2500000.0,"Walmart is hiring a Data Scientist for supply chain ML models. Skills: Python, SQL, Pandas, NumPy, Scikit-learn, Tableau.","Python, SQL, Pandas, NumPy, Scikit-learn, Tableau",https://careers.walmart.com/results?q=Data%20Scientist&loc=India,linkedin,2026-07-16
AI Research Engineer,Microsoft Research India,Bangalore,1.0,1500000.0,2400000.0,"Microsoft NLP research lab is hiring. Must know Python, PyTorch, Natural Language Processing, LLMs, Git.","Python, PyTorch, Natural Language Processing, LLMs, Git",https://careers.microsoft.com/us/en/search-results?keywords=AI%20Research%20Engineer&location=India,direct,2026-07-17
Data Analyst,Flipkart,Bangalore,1.5,800000.0,1400000.0,"Flipkart has an opening for a Data Analyst. Required toolsets: SQL, Excel, Tableau, Power BI, Python.","SQL, Excel, Tableau, Power BI, Python",https://www.linkedin.com/jobs/search/?keywords=Data%20Analyst&location=India&f_TPR=r2592000&f_C=671723&sortBy=DD,linkedin,2026-07-18
GenAI Developer,Wipro,Bangalore,2.0,1000000.0,1800000.0,"Join Wipro's GenAI division. Seeking a GenAI Developer with skills in Python, LLMs, PyTorch, Git, Prompt Engineering.","Python, LLMs, PyTorch, Git, Prompt Engineering",https://careers.wipro.com/careers-home/jobs?q=GenAI%20Developer,naukri,2026-07-19
Data Scientist,NVIDIA,Pune,3.0,2200000.0,3500000.0,"NVIDIA is hiring a Data Scientist for CUDA & deep learning model optimization. Skills: Python, PyTorch, C++, CUDA.","Python, PyTorch, C++, CUDA, Machine Learning",https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist&location=Pune&f_TPR=r2592000&sortBy=DD,linkedin,2026-07-15
Machine Learning Engineer,Symantec,Pune,2.5,1500000.0,2400000.0,"Build ML pipeline models for malware detection. Skills: Python, Scikit-learn, SQL, AWS, Cybersecurity.","Python, Scikit-learn, SQL, AWS, Cybersecurity",https://www.linkedin.com/jobs/search/?keywords=Machine%20Learning&location=Pune,naukri,2026-07-16
Business Intelligence Analyst,Barclays,Pune,2.0,900000.0,1500000.0,"Barclays Pune seeks a BI Analyst. Requirements: SQL, Tableau, Power BI, Excel, finance background.","SQL, Tableau, Power BI, Excel",https://www.linkedin.com/jobs/search/?keywords=BI%20Analyst&location=Pune&f_TPR=r2592000&sortBy=DD,linkedin,2026-07-17
GenAI Prompt Engineer,Cognizant,Pune,1.0,800000.0,1300000.0,"Cognizant GenAI lab is hiring a Prompt Engineer. Required: Python, Prompt Engineering, LLMs, Git.","Python, Prompt Engineering, LLMs, Git",https://careers.cognizant.com/global/en/search-results?keywords=Prompt+Engineer,direct,2026-07-18
Data Architect,Tech Mahindra,Pune,5.0,2000000.0,3200000.0,"Design enterprise scale big data models. Required: SQL, Hadoop, Spark, AWS, Azure, Python.","SQL, Hadoop, Spark, AWS, Azure, Python",https://www.linkedin.com/jobs/search/?keywords=Data%20Architect&location=Pune&f_C=17918&sortBy=DD,linkedin,2026-07-19
Applied Scientist,Amazon India,Hyderabad,3.0,2500000.0,4000000.0,"Amazon Hyderabad is hiring an Applied Scientist. Strong skills in PyTorch, Python, NLP, LLMs, and Software Engineering.","Python, PyTorch, Natural Language Processing, LLMs, Software Engineering",https://www.amazon.jobs/en/search?base_query=Applied+Scientist&loc_query=India,direct,2026-07-15
Data Scientist,Microsoft,Hyderabad,4.0,2400000.0,3800000.0,"Join Microsoft Azure AI group. Require Data Scientist with Python, PyTorch, SQL, and Azure machine learning skills.","Python, PyTorch, SQL, Azure",https://careers.microsoft.com/us/en/search-results?keywords=Data+Scientist&location=India,direct,2026-07-16
Machine Learning Engineer,Qualcomm,Hyderabad,2.0,1800000.0,2800000.0,"Qualcomm AI Research is hiring. Skills: Python, C++, PyTorch, TensorFlow, OpenCV, Git.","Python, C++, PyTorch, TensorFlow, OpenCV, Git",https://www.linkedin.com/jobs/search/?keywords=Machine%20Learning%20Engineer&location=Hyderabad&f_TPR=r2592000&sortBy=DD,linkedin,2026-07-17
NLP Researcher,IBM India,Hyderabad,3.0,1600000.0,2600000.0,"Research advanced NLP models at IBM Labs. Requirements: Natural Language Processing, LLMs, PyTorch, Python.","Natural Language Processing, LLMs, PyTorch, Python, Git",https://www.ibm.com/careers/search?q=NLP&country=IN,direct,2026-07-18
Data Analyst,Deloitte India,Hyderabad,1.5,750000.0,1200000.0,"Join Deloitte's analytics consulting practice. Required tools: SQL, Tableau, Power BI, Excel, Python.","SQL, Tableau, Power BI, Excel, Python",https://www.linkedin.com/jobs/search/?keywords=Data%20Analyst&location=Hyderabad&f_TPR=r2592000&sortBy=DD,linkedin,2026-07-19
Data Scientist,Reliance Jio,Mumbai,2.0,1200000.0,2000000.0,"Jio is hiring a Data Scientist for user recommendation engines. Skills: Python, SQL, Pandas, Scikit-learn, Tableau.","Python, SQL, Pandas, Scikit-learn, Tableau",https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist&location=Mumbai&f_TPR=r2592000&sortBy=DD,linkedin,2026-07-15
Analytics Lead,HDFC Bank,Mumbai,5.0,2400000.0,3800000.0,"Manage analytics models for risk analysis. Required: SQL, Excel, Python, Tableau, Risk Management.","SQL, Excel, Python, Tableau, Risk Management",https://www.linkedin.com/jobs/search/?keywords=Analytics%20Lead&location=Mumbai&sortBy=DD,naukri,2026-07-16
Machine Learning Engineer,Tata Communications,Mumbai,3.0,1500000.0,2500000.0,"Apply deep learning to telecom traffic optimization. Required: Python, PyTorch, Spark, SQL, Git.","Python, PyTorch, Spark, SQL, Git",https://www.linkedin.com/jobs/search/?keywords=Machine%20Learning&location=Mumbai&f_TPR=r2592000&sortBy=DD,linkedin,2026-07-17
Business Intelligence Developer,TCS,Mumbai,2.0,700000.0,1200000.0,"Build reports for global banking client. Required: SQL, Power BI, Tableau, Excel.","SQL, Power BI, Tableau, Excel",https://nextstep.tcs.com/campus/,direct,2026-07-18
AI Product Manager,L&T,Mumbai,4.0,1800000.0,2800000.0,"Lead product roadmap for enterprise AI solutions. Required: Machine Learning, Python, Software Engineering.","Machine Learning, Python, Software Engineering",https://www.linkedin.com/jobs/search/?keywords=AI%20Product%20Manager&location=Mumbai&sortBy=DD,linkedin,2026-07-19
Data Scientist,Tiger Analytics,Chennai,3.0,1400000.0,2200000.0,"Hiring Data Scientist to work on retail demand models. Required: Python, SQL, Pandas, NumPy, Scikit-learn.","Python, SQL, Pandas, NumPy, Scikit-learn",https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist&location=Chennai&sortBy=DD,naukri,2026-07-15
Machine Learning Developer,Zoho Corporation,Chennai,2.0,1000000.0,1800000.0,"Build custom ML integrations for Zoho Office suite. Required: Python, TensorFlow, PyTorch, Git.","Python, TensorFlow, PyTorch, Git",https://www.linkedin.com/jobs/search/?keywords=Machine%20Learning&location=Chennai&f_TPR=r2592000&sortBy=DD,linkedin,2026-07-16
