skill_name,steps_json,estimated_hours,difficulty
Git & Version Control,"[""1. Learn Git fundamentals (commits, branching, merging, and merge conflict resolution)."",""2. Configure remote repositories on GitHub/GitLab and manage pull requests."",""3. Implement advanced branching workflows like GitFlow or trunk-based development."",""4. Setup SSH keys, GPG signing, and secure branch protection rules.""]",12,Beginner
Kubernetes,"[""1. Understand core Kubernetes concepts (Pods, Deployments, Services, ConfigMaps, Secrets)."",""2. Install minikube or kind for local cluster testing and run kubectl commands."",""3. Deploy a multi-container application using custom YAML manifests."",""4. Configure Horizontal Pod Autoscaler (HPA) and ingress routes.""]",25,Hard
AWS,"[""1. Study core AWS services including EC2, S3, IAM, VPC, and RDS."",""2. Configure AWS CLI and IAM roles with least privilege access."",""3. Build a secure VPC with public and private subnets, NAT gateway, and security groups."",""4. Deploy a backend server on EC2 and serve frontend from S3 behind CloudFront.""]",20,Medium
Terraform,"[""1. Learn Infrastructure as Code (IaC) concepts and HCL (HashiCorp Configuration Language)."",""2. Write Terraform resource blocks to provision VPC and EC2 instances."",""3. Structure configuration using reusable Terraform modules."",""4. Configure remote state storage and locking using S3 and DynamoDB.""]",18,Medium
Splunk,"[""1. Understand Splunk components: Forwarders, Indexers, and Search Heads."",""2. Install Splunk Enterprise locally and ingest system log files."",""3. Master Splunk Search Processing Language (SPL) for basic search and filtering."",""4. Design a custom security dashboard tracking unauthorized system access.""]",15,Medium
Software Engineering,"[""1. Master software design patterns (Creational, Structural, Behavioral) and SOLID principles."",""2. Write clean, modular code with comprehensive unit test coverage using PyTest/JUnit."",""3. Learn system design concepts, microservices communication, and API design conventions."",""4. Profile code performance and optimize algorithms and memory utilization.""]",20,Hard
Python,"[""1. Learn core Python syntax, data types, control flows, and functions."",""2. Understand object-oriented programming (OOP) and package structures."",""3. Work with file I/O, error handling, and JSON serialization."",""4. Complete a mini-project building a command-line interface tool.""]",10,Beginner
SQL,"[""1. Understand relational database design, tables, primary/foreign keys."",""2. Master basic SELECT queries, WHERE filters, and ORDER BY sorting."",""3. Master multi-table INNER/LEFT JOINs and aggregate queries (GROUP BY, HAVING)."",""4. Write subqueries, common table expressions (CTEs), and query optimizations.""]",12,Beginner
Linux,"[""1. Learn core Unix/Linux filesystem navigation and file permissions."",""2. Master basic command-line utilities (grep, awk, sed, find, curl)."",""3. Write shell scripts (Bash) to automate routine directory backups."",""4. Configure user accounts, systemd services, and review syslog files.""]",10,Beginner
Vulnerability Assessment,"[""1. Learn common vulnerability categories (OWASP Top 10, CWE)."",""2. Conduct port scans and banner grabbing using Nmap."",""3. Setup and configure automated vulnerability scanners (e.g. Nessus, OpenVAS)."",""4. Compile a comprehensive vulnerability assessment report with remediation recommendations.""]",18,Medium
SIEM,"[""1. Learn Security Information and Event Management (SIEM) architecture."",""2. Ingest syslogs, auth logs, and web traffic logs into a central log collector."",""3. Design correlation rules to trigger alerts on brute-force login attempts."",""4. Perform incident investigation using SIEM timeline charts.""]",20,Medium
Kubernetes Security,"[""1. Learn container security best practices and cluster hardening."",""2. Implement role-based access control (RBAC) policies in a cluster."",""3. Audit security context settings for Pod deployments."",""4. Ingest and review cluster audit logs for suspicious events.""]",24,Hard
CI/CD,"[""1. Understand Continuous Integration and Continuous Delivery principles."",""2. Configure automated build, unit-test, and lint pipelines in GitHub Actions."",""3. Automate building deployment artifacts/containers and pushing them to a secure registry."",""4. Automate server deployments upon main branch pushes.""]",15,Medium
